epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7406,1.13243,1.10065,0.92564,0,0,0,0,2.2081,3.50567,1.59216,0.0674583,0.000328704,0.000328704
2,38.9957,1.04496,0.88562,0.89802,0.42748,0.20896,0.30737,0.19819,2.33273,2.32391,1.81958,0.0344551,0.00065876,0.00065876
3,61.762,1.14806,0.92248,0.91908,0.36807,0.34339,0.30738,0.18611,2.4031,2.18137,1.93751,0.00144848,0.000985516,0.000985516
4,85.9747,1.15709,0.94443,0.91006,0.31244,0.24627,0.2,0.11592,2.40818,2.55561,1.9995,0.00098515,0.00098515,0.00098515
5,108.654,1.1137,0.90233,0.91994,0.36859,0.35075,0.29643,0.17641,2.33558,2.28669,1.91114,0.0009802,0.0009802,0.0009802
6,130.157,1.08811,0.86597,0.91985,0.34022,0.37313,0.32991,0.19462,2.3255,1.98186,1.88406,0.00097525,0.00097525,0.00097525
7,151.866,1.13397,0.87577,0.92651,0.38539,0.28731,0.26039,0.13865,2.36222,2.82862,1.92633,0.0009703,0.0009703,0.0009703
8,173.543,1.12713,0.91438,0.93622,0.38012,0.34328,0.29037,0.16558,2.41713,2.33627,2.01729,0.00096535,0.00096535,0.00096535
9,194.9,1.1173,0.89062,0.92277,0.31539,0.36194,0.27429,0.15825,2.34602,2.26779,1.89341,0.0009604,0.0009604,0.0009604
10,214.163,1.10259,0.8611,0.89165,0.27923,0.27239,0.20377,0.11881,2.42617,2.64716,2.02308,0.00095545,0.00095545,0.00095545
11,233.375,1.08911,0.88659,0.93447,0.40455,0.31343,0.30522,0.1609,2.43679,2.14165,1.99732,0.0009505,0.0009505,0.0009505
12,252.544,1.04131,0.79686,0.89245,0.36595,0.26119,0.26755,0.15689,2.41907,2.2117,1.98482,0.00094555,0.00094555,0.00094555
13,271.764,1.0965,0.8451,0.91881,0.37653,0.32463,0.27052,0.13962,2.30207,2.47318,1.88875,0.0009406,0.0009406,0.0009406
