Nome da Imagem,Ovos Esperados (E),Ovos Observados (O),Diferença (O-E),id,quantidade_ovos,id_antigo,novo_id
palheta-1-25.jpg,25,55,30,1,25,1,1
palheta-2-112.jpg,112,132,20,1,112,1,2
palheta-3-2.jpg,2,13,11,2,2,2,3
palheta-4-4.jpg,4,19,15,2,4,2,4
palheta-5-4.jpg,4,10,6,2,4,2,5
palheta-6-10.jpg,10,17,7,2,10,2,6
palheta-7-37.jpg,37,45,8,3,37,3,7
palheta-8-56.jpg,56,54,-2,3,56,3,8
palheta-9-5.jpg,5,14,9,4,5,4,9
palheta-10-21.jpg,21,26,5,4,21,4,10
palheta-11-34.jpg,34,54,20,4,34,4,11
palheta-12-107.jpg,107,177,70,4,107,4,12
palheta-13-125.jpg,125,140,15,4,125,4,13
palheta-14-158.jpg,158,179,21,4,158,4,14
palheta-15-11.jpg,11,20,9,5,11,5,15
palheta-16-13.jpg,13,15,2,5,13,5,16
palheta-17-21.jpg,21,47,26,5,21,5,17
palheta-18-26.jpg,26,39,13,5,26,5,18
palheta-19-28.jpg,28,34,6,5,28,5,19
palheta-20-27.jpg,27,31,4,6,27,6,20
palheta-21-38.jpg,38,46,8,6,38,6,21
palheta-22-55.jpg,55,57,2,6,55,6,22
palheta-23-65.jpg,65,40,-25,6,65,6,23
palheta-24-14.jpg,14,15,1,7,14,7,24
palheta-25-32.jpg,32,25,-7,7,32,7,25
palheta-26-53.jpg,53,65,12,7,53,7,26
palheta-27-89.jpg,89,103,14,7,89,7,27
palheta-28-15.jpg,15,24,9,8,15,8,28
palheta-29-25.jpg,25,30,5,8,25,8,29
palheta-30-64.jpg,64,74,10,8,64,8,30
palheta-31-100.jpg,100,99,-1,8,100,8,31
palheta-32-139.jpg,139,158,19,8,139,8,32
palheta-33-146.jpg,146,182,36,8,146,8,33
palheta-34-12.jpg,12,21,9,9,12,9,34
palheta-35-13.jpg,13,17,4,9,13,9,35
palheta-36-39.jpg,39,47,8,9,39,9,36
palheta-37-60.jpg,60,52,-8,9,60,9,37
palheta-38-82.jpg,82,98,16,9,82,9,38
palheta-39-272.jpg,272,316,44,9,272,9,39
palheta-40-8.jpg,8,11,3,10,8,10,40
palheta-41-56.jpg,56,40,-16,10,56,10,41
palheta-42-79.jpg,79,80,1,10,79,10,42
palheta-43-103.jpg,103,107,4,10,103,10,43
palheta-44-128.jpg,128,136,8,10,128,10,44
palheta-45-179.jpg,179,103,-76,10,179,10,45
palheta-46-12.jpg,12,15,3,11,12,11,46
palheta-47-47.jpg,47,76,29,11,47,11,47
palheta-48-148.jpg,148,109,-39,11,148,11,48
palheta-49-157.jpg,157,185,28,11,157,11,49
palheta-50-169.jpg,169,159,-10,11,169,11,50
palheta-51-178.jpg,178,91,-87,11,178,11,51
palheta-52-10.jpg,10,17,7,12,10,12,52
palheta-53-19.jpg,19,30,11,12,19,12,53
palheta-54-24.jpg,24,32,8,12,24,12,54
palheta-55-34.jpg,34,32,-2,12,34,12,55
palheta-56-41.jpg,41,29,-12,12,41,12,56
palheta-57-93.jpg,93,151,58,12,93,12,57
palheta-58-181.jpg,181,91,-90,12,181,12,58
palheta-59-28.jpg,28,16,-12,13,28,13,59
palheta-60-31.jpg,31,53,22,13,31,13,60
palheta-61-33.jpg,33,17,-16,13,33,13,61
palheta-62-82.jpg,82,105,23,13,82,13,62
palheta-63-83.jpg,83,60,-23,13,83,13,63
palheta-64-129.jpg,129,140,11,13,129,13,64
palheta-65-18.jpg,18,21,3,14,18,14,65
palheta-66-89.jpg,89,88,-1,14,89,14,66
palheta-67-114.jpg,114,132,18,14,114,14,67
palheta-68-15.jpg,15,21,6,15,15,15,68
