epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6669,3.43618,30.1329,2.07801,0,0,0,0,2.21248,44.8547,2.51925,0.000663383,0.000663383,0.000663383
2,87.1564,3.4441,10.2096,1.8116,0.00011,0.025,6e-05,3e-05,1.81316,11.6852,1.22819,0.00132347,0.00132347,0.00132347
3,130.708,3.34742,5.16927,1.77011,0.40051,0.05,0.07891,0.02455,1.52393,5.1374,1.03099,0.00197695,0.00197695,0.00197695
4,174.201,3.20049,3.98082,1.72285,0.02476,0.45,0.19034,0.05503,1.26379,2.83508,0.8536,0.0019703,0.0019703,0.0019703
5,217.762,3.14578,3.79549,1.63651,0.55447,0.125,0.18866,0.05499,1.47428,3.05487,1.0197,0.0019604,0.0019604,0.0019604
6,261.353,3.0088,3.72998,1.64595,0.49273,0.325,0.27352,0.08064,1.7398,3.30971,1.61051,0.0019505,0.0019505,0.0019505
7,305.052,3.00355,3.62907,1.60254,0.31195,0.25,0.16936,0.04669,1.56109,2.9248,0.98476,0.0019406,0.0019406,0.0019406
8,348.763,3.00064,3.63555,1.56541,0.34765,0.3,0.20386,0.05929,1.32774,2.66964,0.95391,0.0019307,0.0019307,0.0019307
9,392.493,2.93076,3.52703,1.56385,0.23799,0.25,0.16588,0.06341,1.46666,2.99562,0.94179,0.0019208,0.0019208,0.0019208
10,436.101,3.01879,3.67365,1.58942,0.20276,0.35,0.2524,0.08098,1.62629,3.27873,0.96478,0.0019109,0.0019109,0.0019109
11,479.685,2.78046,3.44261,1.46739,0.2672,0.3,0.20919,0.06946,1.53016,2.72987,0.93474,0.001901,0.001901,0.001901
12,523.302,2.76892,3.46896,1.44433,0.4745,0.3,0.26464,0.08387,1.5583,3.07021,0.95883,0.0018911,0.0018911,0.0018911
13,566.907,2.70095,3.3937,1.36564,0.29348,0.325,0.20112,0.07329,1.48752,2.57965,0.94866,0.0018812,0.0018812,0.0018812
14,610.557,2.84813,3.3204,1.46543,0.48383,0.225,0.2912,0.08896,1.47955,2.61742,0.92136,0.0018713,0.0018713,0.0018713
15,655.429,2.9291,3.44524,1.54542,0.17652,0.225,0.11994,0.05969,1.55717,2.55708,0.98554,0.0018614,0.0018614,0.0018614
16,699.514,2.70778,3.21744,1.45337,0.35768,0.35,0.22278,0.07755,1.32232,2.4078,0.88751,0.0018515,0.0018515,0.0018515
17,744.649,2.65302,3.2349,1.39612,0.33143,0.3,0.27243,0.09459,1.3513,2.38795,0.90727,0.0018416,0.0018416,0.0018416
18,790.248,2.76467,3.32677,1.46126,0.40305,0.375,0.24498,0.0802,1.39559,2.30725,0.90648,0.0018317,0.0018317,0.0018317
