epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2607,2.03735,3.22845,1.15231,0.008,0.52174,0.01191,0.0049,2.69695,3.86824,1.75611,0.000648649,0.000648649,0.000648649
2,20.8968,1.93258,2.21789,1.11553,0.00837,0.54589,0.02288,0.00612,2.78025,3.39369,1.8803,0.00130446,0.00130446,0.00130446
3,31.4548,1.93934,2.18153,1.14346,0.02966,0.18841,0.01747,0.00658,2.90069,9.36643,2.61359,0.00194928,0.00194928,0.00194928
4,41.4284,1.8493,2.08073,1.15291,0.34736,0.15942,0.14216,0.07408,2.89249,3.34896,2.23886,0.0019505,0.0019505,0.0019505
5,52.2211,1.81081,1.97673,1.14689,0.2205,0.19324,0.12151,0.06392,2.88162,4.69222,2.27831,0.001934,0.001934,0.001934
6,62.1883,1.72162,1.842,1.10912,0.20627,0.19324,0.08846,0.0381,3.12902,4.27024,2.36456,0.0019175,0.0019175,0.0019175
7,72.5358,1.69153,1.83962,1.11323,0.13321,0.22222,0.06313,0.02511,3.24536,6.97873,2.71222,0.001901,0.001901,0.001901
8,83.7667,1.8024,1.72538,1.13653,0.17673,0.23671,0.07761,0.02931,2.98534,6.59136,2.40827,0.0018845,0.0018845,0.0018845
9,94.9974,1.7657,1.81387,1.17095,0.12754,0.19324,0.05428,0.01987,2.9281,3.12862,2.32888,0.001868,0.001868,0.001868
10,106.841,1.75352,1.65897,1.11262,0.17916,0.25121,0.09701,0.03476,2.89857,2.60866,2.29858,0.0018515,0.0018515,0.0018515
11,118.192,1.679,1.59409,1.09846,0.16445,0.17391,0.05769,0.02358,3.02912,4.2789,2.46656,0.001835,0.001835,0.001835
12,129.608,1.67403,1.5395,1.07783,0.20204,0.20773,0.09207,0.03963,3.16309,4.24457,2.48497,0.0018185,0.0018185,0.0018185
13,139.855,1.64753,1.56176,1.07496,0.24448,0.2657,0.14452,0.05651,2.9498,2.91545,2.31014,0.001802,0.001802,0.001802
14,149.813,1.58142,1.51785,1.06924,0.21632,0.22222,0.11269,0.04409,2.71934,2.95432,2.06918,0.0017855,0.0017855,0.0017855
