epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6154,1.18995,1.87469,0.92834,0.00847,0.59701,0.06516,0.03694,2.07529,3.39875,1.4225,0.000657407,0.000657407,0.000657407
2,39.5326,1.21859,1.34136,0.93384,0.3251,0.22761,0.16769,0.08827,2.35031,2.7969,1.63014,0.00131315,0.00131315,0.00131315
3,58.7917,1.26669,1.28185,0.95561,0.12095,0.22015,0.07236,0.0265,2.45937,3.20176,1.88581,0.00195789,0.00195789,0.00195789
4,78.4453,1.27287,1.26171,0.9502,0.27052,0.3097,0.19407,0.10333,2.45242,3.02371,1.86222,0.0019505,0.0019505,0.0019505
5,98.5293,1.33206,1.25764,0.97304,0.29733,0.28358,0.18791,0.10683,2.42926,4.30554,1.8704,0.001934,0.001934,0.001934
6,118.4,1.2891,1.1661,0.95442,0.2189,0.2081,0.12717,0.06762,2.41993,3.33007,1.83465,0.0019175,0.0019175,0.0019175
7,137.892,1.29375,1.20259,0.978,0.32909,0.24254,0.18863,0.07526,2.50689,2.56227,1.77465,0.001901,0.001901,0.001901
8,157.043,1.29181,1.15577,0.95865,0.39142,0.37313,0.24648,0.11784,2.35343,2.4638,1.80239,0.0018845,0.0018845,0.0018845
9,176.206,1.27438,1.10526,0.96856,0.34358,0.3535,0.21391,0.10008,2.40417,2.45846,1.90409,0.001868,0.001868,0.001868
10,195.265,1.24684,1.0465,0.94727,0.39242,0.31716,0.26461,0.14898,2.36271,2.16515,1.87111,0.0018515,0.0018515,0.0018515
11,214.552,1.24919,1.07065,0.96097,0.22184,0.22388,0.15195,0.07308,2.45584,2.69729,1.8853,0.001835,0.001835,0.001835
12,233.707,1.28429,1.06644,0.94339,0.33816,0.29851,0.21548,0.1091,2.33817,2.28153,1.86472,0.0018185,0.0018185,0.0018185
13,253.172,1.20596,1.01616,0.92892,0.2408,0.20002,0.13707,0.07243,2.48195,2.43896,1.97697,0.001802,0.001802,0.001802
14,272.19,1.25824,1.04867,0.94887,0.34036,0.26493,0.22026,0.12309,2.33648,2.8189,1.91219,0.0017855,0.0017855,0.0017855
15,291.28,1.23258,1.06193,0.96264,0.32065,0.21642,0.15722,0.0802,2.35511,2.63503,1.90555,0.001769,0.001769,0.001769
16,310.48,1.24893,1.01147,0.92646,0.26427,0.32463,0.22415,0.12637,2.33234,2.28557,1.88332,0.0017525,0.0017525,0.0017525
17,330.006,1.25436,1.0367,0.95406,0.3708,0.3097,0.23705,0.11643,2.41196,2.56248,1.90468,0.001736,0.001736,0.001736
18,349.257,1.16928,0.94968,0.92337,0.37049,0.33955,0.29634,0.16798,2.26122,2.15084,1.78972,0.0017195,0.0017195,0.0017195
19,368.499,1.17537,0.95166,0.93065,0.41893,0.22015,0.21684,0.12179,2.35067,2.25298,1.92768,0.001703,0.001703,0.001703
20,387.929,1.22944,0.99361,0.94407,0.31598,0.24627,0.21791,0.12691,2.34061,2.53622,1.85704,0.0016865,0.0016865,0.0016865
21,406.89,1.14894,0.92059,0.92616,0.40046,0.32463,0.27378,0.13988,2.37424,2.114,1.88428,0.00167,0.00167,0.00167
