epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5759,3.82064,41.5714,2.27695,0,0,0,0,3.46448,89.4388,2.10213,0.000658824,0.000658824,0.000658824
2,51.9456,3.54682,13.2324,2.06301,0.39936,0.29925,0.30329,0.06334,1.48504,30.3163,1.10694,0.00131893,0.00131893,0.00131893
3,76.3106,3.12275,6.72376,1.77351,0.51035,0.4,0.42946,0.11757,1.39481,19.3499,1.02725,0.00197243,0.00197243,0.00197243
4,99.4864,2.90274,4.51122,1.59105,0.27316,0.48882,0.21144,0.06232,1.48644,9.65399,1.10589,0.0019703,0.0019703,0.0019703
5,122.413,2.69569,3.4668,1.51754,0.63819,0.4,0.44253,0.12107,1.48796,7.92791,1.02185,0.0019604,0.0019604,0.0019604
6,145.646,2.53175,2.94734,1.43994,0.47399,0.55,0.43069,0.13798,1.25428,5.43488,0.83966,0.0019505,0.0019505,0.0019505
7,169.096,2.72227,2.58714,1.42781,0.37337,0.7,0.46942,0.14378,1.12025,3.31588,0.7709,0.0019406,0.0019406,0.0019406
8,192.606,2.54548,2.3585,1.4483,0.37514,0.6,0.44586,0.1157,1.12847,2.3155,0.77365,0.0019307,0.0019307,0.0019307
9,217.015,2.55081,2.37597,1.4392,0.29555,0.6,0.30462,0.09196,1.20364,2.08473,0.79418,0.0019208,0.0019208,0.0019208
10,240.547,2.47861,2.30475,1.37055,0.5139,0.63475,0.5369,0.16118,1.15718,1.89437,0.7823,0.0019109,0.0019109,0.0019109
11,263.892,2.42632,2.48607,1.44649,0.35245,0.75,0.47281,0.15269,1.0387,3.6564,0.73284,0.001901,0.001901,0.001901
12,287.431,2.54587,2.29716,1.45469,0.34574,0.55,0.4318,0.14292,1.09582,1.44931,0.75321,0.0018911,0.0018911,0.0018911
13,310.149,2.55286,2.21199,1.49124,0.38287,0.7,0.50805,0.15566,1.08839,1.60581,0.72618,0.0018812,0.0018812,0.0018812
14,332.773,2.51409,2.18741,1.38863,0.37769,0.55,0.35056,0.09942,1.16177,2.01384,0.76924,0.0018713,0.0018713,0.0018713
15,355.384,2.5826,2.12653,1.44387,0.51524,0.6381,0.55122,0.20187,1.0138,1.25578,0.73194,0.0018614,0.0018614,0.0018614
16,378.001,2.39239,2.11771,1.36032,0.48097,0.75,0.53563,0.21632,1.07254,2.96992,0.7232,0.0018515,0.0018515,0.0018515
17,400.657,2.29185,2.02665,1.237,0.63563,0.69788,0.57151,0.18909,1.05096,2.83423,0.71228,0.0018416,0.0018416,0.0018416
18,423.233,2.36069,2.04443,1.30734,0.37997,0.91949,0.58169,0.22125,1.07026,2.24686,0.71107,0.0018317,0.0018317,0.0018317
19,445.86,2.49535,2.04414,1.41297,0.55257,0.65,0.63648,0.20672,1.02941,1.3853,0.68871,0.0018218,0.0018218,0.0018218
20,468.466,2.38654,2.03831,1.3612,0.56129,0.7,0.53969,0.2034,1.08886,1.06891,0.71088,0.0018119,0.0018119,0.0018119
21,491.042,2.44811,2.1452,1.3842,0.38266,0.65,0.40582,0.14542,1.01341,1.1622,0.68745,0.001802,0.001802,0.001802
22,513.704,2.32409,2.01682,1.34379,0.49859,0.6962,0.66212,0.26699,1.00198,1.58138,0.67948,0.0017921,0.0017921,0.0017921
23,536.595,2.30854,1.932,1.32347,0.52004,0.6501,0.50113,0.16587,1.08464,1.36235,0.70112,0.0017822,0.0017822,0.0017822
24,559.245,2.24444,1.77585,1.29104,0.39518,0.75,0.55833,0.24056,1.00528,2.27624,0.68511,0.0017723,0.0017723,0.0017723
25,582.261,2.31793,2.02636,1.31836,0.5874,0.6,0.48825,0.17248,1.05158,1.12089,0.68734,0.0017624,0.0017624,0.0017624
26,604.915,2.32908,1.80656,1.32079,0.47588,0.75,0.46023,0.17917,1.01363,1.05565,0.6954,0.0017525,0.0017525,0.0017525
27,628.043,2.24879,1.93855,1.29465,0.4975,0.84174,0.54374,0.17559,1.17526,2.87642,0.73919,0.0017426,0.0017426,0.0017426
28,650.67,2.30258,1.99938,1.3688,0.73616,0.7,0.72816,0.2589,1.0017,1.09686,0.6917,0.0017327,0.0017327,0.0017327
29,673.399,2.39337,1.81473,1.35771,0.58436,0.63318,0.68936,0.27959,0.88895,1.91947,0.67369,0.0017228,0.0017228,0.0017228
30,696.242,2.35712,2.03598,1.39785,0.62308,0.85,0.70242,0.29391,0.98447,1.37982,0.6765,0.0017129,0.0017129,0.0017129
31,719.175,2.30088,1.70107,1.28112,0.5278,0.8386,0.69041,0.31419,0.94012,1.6671,0.6671,0.001703,0.001703,0.001703
32,742.578,2.17599,1.94092,1.22715,0.46826,0.70464,0.62981,0.23272,1.03145,2.0395,0.68834,0.0016931,0.0016931,0.0016931
33,765.958,2.35773,1.96183,1.30117,0.54155,0.7,0.69275,0.26758,1.05708,0.9868,0.67997,0.0016832,0.0016832,0.0016832
34,791.14,2.28052,1.84853,1.26797,0.61631,0.6,0.64202,0.21893,1.08998,2.82656,0.7103,0.0016733,0.0016733,0.0016733
35,815.029,2.2174,1.84911,1.27804,0.67122,0.75,0.71939,0.244,0.97993,1.17917,0.6849,0.0016634,0.0016634,0.0016634
36,839.199,2.40655,1.93766,1.40088,0.56215,0.75,0.69763,0.29542,0.94793,1.25398,0.65894,0.0016535,0.0016535,0.0016535
37,862.593,2.14031,1.7981,1.28856,0.52249,0.75,0.60044,0.23374,1.03545,1.74652,0.69439,0.0016436,0.0016436,0.0016436
38,885.572,2.26832,1.84094,1.32478,0.67987,0.75,0.78013,0.29621,0.95893,1.16744,0.65937,0.0016337,0.0016337,0.0016337
39,909.029,2.19077,1.78103,1.26525,0.71754,0.8,0.77019,0.30996,0.94423,1.15069,0.65486,0.0016238,0.0016238,0.0016238
40,932.298,2.02718,1.60204,1.20375,0.71334,0.87147,0.82277,0.35954,0.96682,1.68132,0.6569,0.0016139,0.0016139,0.0016139
41,956.436,2.10362,1.80139,1.23389,0.56826,0.72441,0.63836,0.25523,0.92102,1.04698,0.64479,0.001604,0.001604,0.001604
42,980.382,2.13727,1.66313,1.2231,0.48055,0.64766,0.49198,0.18114,0.9736,1.01206,0.66054,0.0015941,0.0015941,0.0015941
43,1004.21,2.23699,1.78817,1.23236,0.67027,0.81351,0.7636,0.27562,1.00718,1.15503,0.67054,0.0015842,0.0015842,0.0015842
44,1027.85,2.1103,1.66717,1.2593,0.61714,0.7259,0.67008,0.31568,0.95439,1.54945,0.65142,0.0015743,0.0015743,0.0015743
45,1050.69,2.20708,1.67557,1.23934,0.59432,0.8,0.63334,0.24988,1.02884,1.36145,0.68911,0.0015644,0.0015644,0.0015644
46,1074.11,2.27205,1.67466,1.29722,0.55941,0.9,0.7062,0.28889,0.95699,2.57949,0.64942,0.0015545,0.0015545,0.0015545
47,1097.9,2.29393,1.83353,1.28113,0.68525,0.7,0.65207,0.26831,0.98265,1.03049,0.66066,0.0015446,0.0015446,0.0015446
48,1120.87,2.07317,1.68869,1.17303,0.86604,0.64672,0.73298,0.32912,0.95429,0.82026,0.65586,0.0015347,0.0015347,0.0015347
49,1143.96,1.96552,1.5671,1.14554,0.6433,0.72193,0.66636,0.24256,0.97469,0.97241,0.67529,0.0015248,0.0015248,0.0015248
