epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.191,2.3355,3.02907,1.35957,0.47133,0.325,0.22632,0.07103,1.39107,2.29619,0.93153,0.000663383,0.000663383,0.000663383
2,94.4828,2.63779,3.15568,1.43009,0.36155,0.35,0.24691,0.08522,1.38932,2.03365,0.89378,0.00132347,0.00132347,0.00132347
3,141.631,2.60482,3.03418,1.409,0.55759,0.4,0.30689,0.0922,1.33575,2.098,0.87869,0.00197695,0.00197695,0.00197695
4,188.021,2.52075,2.94264,1.3721,0.73757,0.325,0.35617,0.16174,1.43008,2.0708,0.9052,0.0019703,0.0019703,0.0019703
5,233.661,2.55023,2.97184,1.35519,0.30452,0.175,0.17751,0.04215,1.4783,2.39404,0.89595,0.0019604,0.0019604,0.0019604
6,279.889,2.51116,2.97414,1.38018,0.73832,0.4,0.40593,0.1423,1.36832,2.30557,0.87073,0.0019505,0.0019505,0.0019505
7,325.571,2.52945,3.05562,1.36698,0.81046,0.375,0.38034,0.14997,1.35657,2.44564,0.86983,0.0019406,0.0019406,0.0019406
8,371.243,2.56293,2.93152,1.36677,0.44504,0.4,0.26389,0.10679,1.35196,2.02838,0.83313,0.0019307,0.0019307,0.0019307
9,417.057,2.47897,2.98197,1.36587,0.5199,0.375,0.28395,0.12622,1.3186,2.15821,0.84549,0.0019208,0.0019208,0.0019208
10,462.013,2.57118,2.96468,1.40921,0.51169,0.375,0.28162,0.13131,1.16803,2.24255,0.80592,0.0019109,0.0019109,0.0019109
11,508.418,2.48705,2.85299,1.32205,0.44509,0.3,0.22977,0.06293,1.24092,2.74125,0.83503,0.001901,0.001901,0.001901
12,553.837,2.56006,2.94975,1.34847,0.45716,0.35,0.21537,0.08928,1.22696,1.68988,0.75307,0.0018911,0.0018911,0.0018911
13,600.564,2.39672,2.87209,1.25236,0.39148,0.45,0.25071,0.10454,1.25686,2.10803,0.82552,0.0018812,0.0018812,0.0018812
14,646.794,2.50199,2.83986,1.32847,0.45643,0.4,0.27108,0.11532,1.32085,2.10714,0.82694,0.0018713,0.0018713,0.0018713
15,691.221,2.5381,2.96127,1.38493,0.37577,0.37627,0.27869,0.13505,1.18732,2.50727,0.80389,0.0018614,0.0018614,0.0018614
16,736.641,2.35475,2.76651,1.28828,0.38662,0.4,0.32193,0.0925,1.27133,2.1003,0.84541,0.0018515,0.0018515,0.0018515
17,782.599,2.40367,2.77441,1.29345,0.45769,0.35,0.28105,0.09705,1.27499,2.03506,0.78851,0.0018416,0.0018416,0.0018416
18,830.016,2.48357,2.86367,1.34087,0.63247,0.34438,0.34272,0.14541,1.25167,2.43536,0.80608,0.0018317,0.0018317,0.0018317
19,875.585,2.43122,2.91364,1.31649,0.42697,0.40997,0.30396,0.10777,1.32116,2.21687,0.84617,0.0018218,0.0018218,0.0018218
20,920.822,2.41331,2.77981,1.31075,0.6385,0.35337,0.32398,0.13068,1.24697,2.41771,0.83716,0.0018119,0.0018119,0.0018119
21,965.533,2.40654,2.90775,1.30244,0.37902,0.4,0.2754,0.12144,1.15822,2.1352,0.76351,0.001802,0.001802,0.001802
22,1009.61,2.50151,2.83186,1.3325,0.53058,0.39572,0.32487,0.12736,1.18066,2.1553,0.77902,0.0017921,0.0017921,0.0017921
23,1055.66,2.52392,3.05892,1.39531,0.446,0.45,0.29179,0.11063,1.283,2.34716,0.83136,0.0017822,0.0017822,0.0017822
24,1108.94,2.40681,2.93224,1.27254,0.53318,0.35,0.2793,0.09339,1.2401,2.217,0.7971,0.0017723,0.0017723,0.0017723
25,1153.34,2.48161,2.90268,1.33711,0.37068,0.375,0.21479,0.09635,1.21791,2.8558,0.81936,0.0017624,0.0017624,0.0017624
26,1197.83,2.49007,2.9897,1.34505,0.51113,0.375,0.29592,0.12227,1.13305,2.08996,0.77141,0.0017525,0.0017525,0.0017525
27,1244.64,2.50324,3.01556,1.33951,0.52719,0.4,0.30257,0.12585,1.10488,2.15075,0.77016,0.0017426,0.0017426,0.0017426
