epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.808,3.60222,3.20177,1.94279,0.43902,0.06383,0.24173,0.09489,3.50001,3.003,2.13623,0.0670745,0.000332581,0.000332581
2,255.495,2.84322,2.63189,1.56804,0.32432,0.04255,0.18285,0.09267,3.15705,2.756,2.08449,0.0340712,0.000662618,0.000662618
3,389.165,2.5631,2.38862,1.43028,0.48936,0.08156,0.28303,0.12801,3.11784,2.85132,2.05775,0.0010646,0.000989355,0.000989355
4,523.169,2.41041,2.28993,1.37251,0.61538,0.02837,0.32303,0.15678,3.09342,2.45693,1.94921,0.00098515,0.00098515,0.00098515
5,657.016,2.309,2.26617,1.33131,0.5625,0.03191,0.29868,0.18979,2.8192,2.47072,1.93128,0.0009802,0.0009802,0.0009802
6,790.923,2.27149,2.14597,1.33894,0.34951,0.12766,0.21658,0.08988,2.85352,2.22647,1.91177,0.00097525,0.00097525,0.00097525
7,924.467,2.14944,2.05397,1.24307,0.39394,0.1844,0.25199,0.10581,2.8547,2.55901,1.91785,0.0009703,0.0009703,0.0009703
8,1058.01,2.13189,2.11773,1.26202,0.27811,0.16667,0.17333,0.08556,2.77269,3.03651,1.8847,0.00096535,0.00096535,0.00096535
9,1191.55,2.13122,2.069,1.2331,0.36306,0.20213,0.23526,0.11024,2.69775,2.23817,1.85491,0.0009604,0.0009604,0.0009604
10,1325.04,2.04061,1.96168,1.22356,0.27313,0.21986,0.19213,0.08371,2.56667,2.62805,1.84136,0.00095545,0.00095545,0.00095545
11,1458.52,2.04938,2.06296,1.24934,0.39474,0.26596,0.27072,0.13573,2.68082,2.14042,1.89251,0.0009505,0.0009505,0.0009505
12,1592.01,1.97237,1.91984,1.1996,0.3526,0.21631,0.23706,0.11816,2.711,2.38559,1.93619,0.00094555,0.00094555,0.00094555
13,1725.51,1.88192,1.85002,1.17022,0.41781,0.21631,0.28934,0.14911,2.51936,2.08993,1.8253,0.0009406,0.0009406,0.0009406
14,1858.98,1.91429,1.92499,1.161,0.45455,0.10638,0.26364,0.14132,2.60621,2.04629,1.80441,0.00093565,0.00093565,0.00093565
15,1992.43,1.89277,1.91534,1.20419,0.36364,0.14184,0.22015,0.10324,2.62281,2.37248,1.82286,0.0009307,0.0009307,0.0009307
16,2125.89,1.87566,1.80369,1.18379,0.35537,0.15248,0.2138,0.10112,2.57897,2.17886,1.82211,0.00092575,0.00092575,0.00092575
17,2259.36,1.84631,1.81823,1.17634,0.35912,0.2305,0.24946,0.11482,2.68341,2.44564,1.83493,0.0009208,0.0009208,0.0009208
18,2392.82,1.79019,1.76697,1.13122,0.36019,0.2695,0.26446,0.12918,2.51016,2.21805,1.81778,0.00091585,0.00091585,0.00091585
19,2526.3,1.77545,1.71894,1.14993,0.49606,0.2234,0.32756,0.18454,2.44713,1.86164,1.75727,0.0009109,0.0009109,0.0009109
20,2659.81,1.77242,1.76853,1.15337,0.40476,0.12057,0.24003,0.14003,2.50121,2.09924,1.79045,0.00090595,0.00090595,0.00090595
21,2793.34,1.79659,1.8301,1.16051,0.47619,0.21277,0.31534,0.17118,2.52096,2.10604,1.7632,0.000901,0.000901,0.000901
22,2926.83,1.7682,1.78672,1.14902,0.44444,0.28369,0.32841,0.14933,2.50032,2.06524,1.77942,0.00089605,0.00089605,0.00089605
23,3060.39,1.72892,1.67522,1.13084,0.34796,0.24468,0.26486,0.1385,2.5239,2.19923,1.79567,0.0008911,0.0008911,0.0008911
24,3193.9,1.69435,1.66444,1.10466,0.32927,0.28723,0.25234,0.14952,2.48453,2.03492,1.80226,0.00088615,0.00088615,0.00088615
25,3327.43,1.72043,1.68068,1.12197,0.46667,0.17376,0.30175,0.16954,2.46505,1.97288,1.79305,0.0008812,0.0008812,0.0008812
26,3460.92,1.70023,1.61315,1.10802,0.37179,0.20567,0.25766,0.13369,2.60852,2.25278,1.78729,0.00087625,0.00087625,0.00087625
27,3594.41,1.65345,1.55066,1.09592,0.39766,0.24113,0.28563,0.14604,2.38472,2.17165,1.71503,0.0008713,0.0008713,0.0008713
28,3727.96,1.68283,1.62409,1.11636,0.4125,0.23404,0.29034,0.17508,2.5,1.87949,1.81336,0.00086635,0.00086635,0.00086635
29,3861.47,1.70868,1.59208,1.11494,0.32645,0.28014,0.27477,0.1425,2.47296,2.39233,1.8213,0.0008614,0.0008614,0.0008614
30,3994.96,1.62436,1.57903,1.08524,0.44565,0.14539,0.27879,0.16666,2.46752,2.02822,1.77642,0.00085645,0.00085645,0.00085645
31,4128.44,1.62196,1.58839,1.09109,0.38411,0.20567,0.27404,0.15857,2.54283,2.22586,1.82572,0.0008515,0.0008515,0.0008515
32,4261.99,1.60079,1.49726,1.083,0.36795,0.26596,0.27235,0.14185,2.52895,2.33884,1.79907,0.00084655,0.00084655,0.00084655
33,4395.48,1.55893,1.46237,1.06283,0.42246,0.28014,0.32647,0.18025,2.43408,1.96808,1.73667,0.0008416,0.0008416,0.0008416
34,4528.98,1.58939,1.49871,1.06426,0.37436,0.25887,0.29875,0.16454,2.56975,2.10372,1.79804,0.00083665,0.00083665,0.00083665
35,4662.48,1.60388,1.504,1.08396,0.39618,0.29078,0.28918,0.14206,2.47176,2.2462,1.77668,0.0008317,0.0008317,0.0008317
36,4796,1.64529,1.55639,1.09469,0.24537,0.25532,0.21583,0.11462,2.50945,2.26535,1.83794,0.00082675,0.00082675,0.00082675
37,4929.52,1.65292,1.53086,1.08054,0.32925,0.3156,0.25646,0.12774,2.50851,2.68106,1.8151,0.0008218,0.0008218,0.0008218
38,5062.99,1.54524,1.48459,1.03779,0.39838,0.30142,0.33402,0.19526,2.53614,1.89123,1.82743,0.00081685,0.00081685,0.00081685
39,5196.86,1.55113,1.49063,1.06532,0.4863,0.25177,0.36293,0.20901,2.46008,1.89225,1.77548,0.0008119,0.0008119,0.0008119
40,5330.74,1.52275,1.38902,1.05518,0.28438,0.33256,0.26159,0.14453,2.34025,2.20206,1.70111,0.00080695,0.00080695,0.00080695
41,5464.19,1.51516,1.45522,1.05428,0.33645,0.25532,0.26095,0.14652,2.4069,2.0173,1.76757,0.000802,0.000802,0.000802
42,5597.65,1.54311,1.43968,1.06458,0.38605,0.29433,0.3298,0.18652,2.39327,1.92203,1.74349,0.00079705,0.00079705,0.00079705
43,5731.1,1.4802,1.42806,1.04761,0.50345,0.25887,0.3659,0.19564,2.48513,1.85362,1.7563,0.0007921,0.0007921,0.0007921
44,5864.65,1.50393,1.39903,1.04322,0.35812,0.24468,0.22857,0.11322,2.38258,2.83108,1.75963,0.00078715,0.00078715,0.00078715
45,5998.11,1.48294,1.35815,1.04817,0.4,0.2766,0.33212,0.21398,2.41925,1.99571,1.78058,0.0007822,0.0007822,0.0007822
46,6132.01,1.48406,1.35653,1.0389,0.36135,0.38723,0.32876,0.16812,2.45876,2.05051,1.82888,0.00077725,0.00077725,0.00077725
47,6265.47,1.46095,1.39929,1.04614,0.36052,0.29787,0.3082,0.18443,2.59443,1.83144,1.90042,0.0007723,0.0007723,0.0007723
48,6398.97,1.46434,1.32156,1.03426,0.40196,0.29078,0.32368,0.18526,2.49599,1.81668,1.81635,0.00076735,0.00076735,0.00076735
49,6532.43,1.47532,1.34037,1.01577,0.39119,0.23925,0.29165,0.18072,2.46482,1.90982,1.80211,0.0007624,0.0007624,0.0007624
50,6665.85,1.45945,1.36753,1.02028,0.35894,0.30851,0.28615,0.14028,2.45843,1.96034,1.85971,0.00075745,0.00075745,0.00075745
51,6799.35,1.48428,1.32075,1.02301,0.27346,0.3617,0.27332,0.14881,2.39299,1.95094,1.77293,0.0007525,0.0007525,0.0007525
52,6932.82,1.45906,1.36826,1.03701,0.30183,0.35106,0.28701,0.16005,2.38462,2.02484,1.80758,0.00074755,0.00074755,0.00074755
53,7066.3,1.42731,1.35048,1.03173,0.31058,0.3227,0.28625,0.15816,2.37419,1.95505,1.8226,0.0007426,0.0007426,0.0007426
54,7199.79,1.41117,1.30679,1.01333,0.32454,0.2234,0.20484,0.09779,2.5174,2.68985,1.81732,0.00073765,0.00073765,0.00073765
55,7333.26,1.42371,1.34117,1.0211,0.36515,0.31206,0.32638,0.18123,2.48916,1.98913,1.81839,0.0007327,0.0007327,0.0007327
56,7466.74,1.40402,1.34425,1.01849,0.77419,0.17021,0.47595,0.3062,2.43091,2.12931,1.73295,0.00072775,0.00072775,0.00072775
57,7600.62,1.4107,1.2796,1.01436,0.45342,0.25887,0.35702,0.23129,2.39654,2.06601,1.74447,0.0007228,0.0007228,0.0007228
58,7734.12,1.42957,1.29151,1.02557,0.27869,0.27305,0.2237,0.12545,2.4428,2.23327,1.82921,0.00071785,0.00071785,0.00071785
59,7867.61,1.42373,1.28695,1.03398,0.44703,0.29433,0.33917,0.18281,2.44909,1.81349,1.79981,0.0007129,0.0007129,0.0007129
60,8001.13,1.39366,1.2903,1.02668,0.3609,0.34043,0.30402,0.1601,2.28852,2.03892,1.71287,0.00070795,0.00070795,0.00070795
61,8134.59,1.37018,1.26348,1.00193,0.37443,0.29078,0.3005,0.1734,2.37854,1.91563,1.78945,0.000703,0.000703,0.000703
62,8268.11,1.40958,1.31842,1.01988,0.47826,0.27305,0.36373,0.22155,2.33556,1.88091,1.74826,0.00069805,0.00069805,0.00069805
63,8401.59,1.4045,1.2703,1.01129,0.45294,0.27305,0.35842,0.20182,2.39767,2.0517,1.83503,0.0006931,0.0006931,0.0006931
64,8535.03,1.39075,1.26847,0.99646,0.49056,0.32979,0.38776,0.24112,2.32434,1.91594,1.75838,0.00068815,0.00068815,0.00068815
65,8668.56,1.36435,1.26046,0.99767,0.33006,0.30851,0.29199,0.16035,2.34524,2.0893,1.7691,0.0006832,0.0006832,0.0006832
66,8802.04,1.33327,1.21105,0.99841,0.2795,0.31915,0.26516,0.13435,2.35576,2.04592,1.80548,0.00067825,0.00067825,0.00067825
67,8935.52,1.34949,1.21483,1.00199,0.24138,0.24823,0.19221,0.09586,2.38842,2.49008,1.80682,0.0006733,0.0006733,0.0006733
68,9069,1.32551,1.15596,0.99174,0.26855,0.29787,0.23256,0.12448,2.41877,2.11075,1.80619,0.00066835,0.00066835,0.00066835
69,9202.47,1.33511,1.19159,0.9791,0.3967,0.3227,0.30117,0.15273,2.2842,2.12195,1.72923,0.0006634,0.0006634,0.0006634
70,9335.96,1.31305,1.20964,1.00422,0.42442,0.28014,0.30171,0.1497,2.28386,1.97794,1.71544,0.00065845,0.00065845,0.00065845
71,9469.48,1.34887,1.1628,1.00373,0.28179,0.29078,0.26729,0.14374,2.46066,2.09076,1.81168,0.0006535,0.0006535,0.0006535
72,9603,1.33765,1.19585,0.99446,0.29986,0.29433,0.26169,0.15034,2.30627,2.20205,1.72507,0.00064855,0.00064855,0.00064855
73,9736.54,1.31372,1.16064,0.97354,0.34991,0.35816,0.31741,0.16829,2.29427,1.85065,1.7324,0.0006436,0.0006436,0.0006436
74,9870.11,1.29028,1.12129,0.96691,0.39288,0.30496,0.28288,0.15558,2.27735,1.9687,1.81288,0.00063865,0.00063865,0.00063865
75,10003.6,1.25628,1.14874,0.98095,0.37333,0.29787,0.3128,0.19015,2.34475,1.96082,1.76982,0.0006337,0.0006337,0.0006337
76,10137,1.2785,1.17563,0.98257,0.34857,0.35106,0.29401,0.15238,2.38458,2.25328,1.84146,0.00062875,0.00062875,0.00062875
77,10270.5,1.29125,1.19103,0.98126,0.3333,0.31206,0.28412,0.15987,2.34865,2.06706,1.77795,0.0006238,0.0006238,0.0006238
78,10404,1.27344,1.08627,0.96201,0.31083,0.39024,0.29612,0.16162,2.37002,2.04966,1.77917,0.00061885,0.00061885,0.00061885
79,10537.5,1.2448,1.08581,0.96954,0.38515,0.3156,0.30144,0.16279,2.4246,2.00832,1.84706,0.0006139,0.0006139,0.0006139
80,10670.9,1.22499,1.11073,0.97806,0.28615,0.32979,0.27141,0.15795,2.38959,1.9435,1.76061,0.00060895,0.00060895,0.00060895
81,10804.5,1.24231,1.05879,0.96604,0.24374,0.30496,0.25319,0.13821,2.29299,2.12944,1.66102,0.000604,0.000604,0.000604
82,10937.9,1.24791,1.09682,0.97315,0.37603,0.3227,0.31587,0.18859,2.24928,1.90965,1.71007,0.00059905,0.00059905,0.00059905
83,11071.4,1.21656,1.0563,0.94923,0.30045,0.19858,0.19486,0.10449,2.45019,2.47131,1.80248,0.0005941,0.0005941,0.0005941
84,11204.9,1.24605,1.03438,0.96187,0.30125,0.31206,0.28261,0.14353,2.36418,2.02206,1.77116,0.00058915,0.00058915,0.00058915
85,11338.4,1.24676,1.04463,0.96756,0.33627,0.33333,0.29181,0.14444,2.33422,2.16467,1.73992,0.0005842,0.0005842,0.0005842
86,11472,1.22816,1.04197,0.96412,0.40187,0.30496,0.33167,0.19579,2.3326,1.87437,1.763,0.00057925,0.00057925,0.00057925
87,11605.4,1.23073,1.1145,0.95123,0.38342,0.3227,0.32179,0.18623,2.33961,1.99645,1.7512,0.0005743,0.0005743,0.0005743
88,11738.9,1.21023,1.08017,0.95161,0.42975,0.36879,0.38463,0.22133,2.34407,1.83749,1.76126,0.00056935,0.00056935,0.00056935
89,11872.3,1.1977,1.0623,0.96276,0.33962,0.31915,0.29437,0.15976,2.41535,1.90243,1.82048,0.0005644,0.0005644,0.0005644
90,12005.9,1.1846,0.99537,0.96104,0.31724,0.2766,0.28946,0.1571,2.49096,2.00475,1.80973,0.00055945,0.00055945,0.00055945
91,12139.3,1.19829,1.00627,0.96502,0.41498,0.29433,0.31828,0.16146,2.35138,1.88447,1.77913,0.0005545,0.0005545,0.0005545
92,12272.8,1.20239,1.07161,0.96743,0.46415,0.35106,0.36548,0.19146,2.34623,1.85827,1.7694,0.00054955,0.00054955,0.00054955
93,12406.3,1.18172,0.97601,0.95518,0.54081,0.32576,0.38253,0.21302,2.37981,1.85263,1.82201,0.0005446,0.0005446,0.0005446
94,12539.8,1.1929,1.0137,0.9501,0.36732,0.29433,0.28337,0.15046,2.33788,2.59853,1.78497,0.00053965,0.00053965,0.00053965
