epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6462,5.01712,24.0031,3.41512,5e-05,0.01667,3e-05,2e-05,4.03541,16.6827,3.0348,0.00331832,0.00331832,0.00331832
2,100.48,3.22589,6.62035,2.34955,0.41558,0.33333,0.28727,0.09157,2.46675,6.75095,1.88152,0.00663848,0.00663848,0.00663848
3,149.685,2.76699,3.55305,1.94465,0.2381,0.35,0.1871,0.0583,2.21795,5.08408,1.76732,0.00994544,0.00994544,0.00994544
4,198.992,2.62635,2.52495,1.84771,0.37111,0.46667,0.37405,0.13324,2.09,2.21118,1.56568,0.0099406,0.0099406,0.0099406
5,248.336,2.44849,2.2343,1.67804,0.34421,0.40833,0.32896,0.14965,1.91775,1.84251,1.47052,0.0099208,0.0099208,0.0099208
6,297.641,2.31484,2.05496,1.60529,0.5688,0.51667,0.54345,0.23576,1.88164,1.56595,1.43136,0.009901,0.009901,0.009901
7,346.946,2.19221,1.87928,1.48125,0.64907,0.50863,0.56773,0.24195,1.89178,1.62321,1.45104,0.0098812,0.0098812,0.0098812
8,397.206,2.26911,1.89991,1.55883,0.66464,0.46667,0.56253,0.2192,1.84694,2.22139,1.42928,0.0098614,0.0098614,0.0098614
9,448.337,2.18255,1.91907,1.51261,0.63308,0.475,0.54165,0.22135,1.75715,6.55902,1.34072,0.0098416,0.0098416,0.0098416
10,499.421,2.16948,1.75292,1.48801,0.65201,0.56667,0.61656,0.2929,1.7531,1.57274,1.30028,0.0098218,0.0098218,0.0098218
11,550.488,2.13296,1.70104,1.44099,0.70167,0.525,0.60417,0.28368,1.74051,2.30782,1.36787,0.009802,0.009802,0.009802
12,601.502,2.13469,1.70278,1.49553,0.71176,0.55562,0.65495,0.31643,1.76611,1.45106,1.32579,0.0097822,0.0097822,0.0097822
13,652.563,2.06093,1.66313,1.40752,0.66148,0.6,0.626,0.28921,1.67458,1.62409,1.23626,0.0097624,0.0097624,0.0097624
14,703.612,2.04031,1.64669,1.40042,0.76302,0.48333,0.48726,0.23372,1.61381,25.9789,1.25743,0.0097426,0.0097426,0.0097426
15,754.627,2.00718,1.6553,1.40857,0.76932,0.63921,0.70714,0.3341,1.69713,1.40662,1.2854,0.0097228,0.0097228,0.0097228
16,805.708,2.03181,1.64517,1.44208,0.76967,0.575,0.72081,0.36375,1.64756,1.48235,1.27269,0.009703,0.009703,0.009703
17,856.84,2.0321,1.5938,1.45189,0.78761,0.61667,0.71816,0.30402,1.66116,1.74786,1.25617,0.0096832,0.0096832,0.0096832
18,907.881,1.94484,1.61722,1.38656,0.69966,0.65,0.71476,0.35097,1.63105,2.25043,1.23825,0.0096634,0.0096634,0.0096634
19,958.956,1.89295,1.4743,1.36226,0.81486,0.7,0.78904,0.39544,1.63116,1.29646,1.24246,0.0096436,0.0096436,0.0096436
20,1010.01,1.87735,1.45481,1.32519,0.73576,0.64972,0.7394,0.35286,1.65067,1.27299,1.26632,0.0096238,0.0096238,0.0096238
21,1059.49,1.89796,1.45714,1.34785,0.849,0.65599,0.75095,0.38771,1.58262,1.30779,1.1908,0.009604,0.009604,0.009604
22,1107.08,1.94247,1.53117,1.36891,0.77978,0.7,0.75068,0.37757,1.59427,1.40217,1.19225,0.0095842,0.0095842,0.0095842
23,1156.83,1.87512,1.44307,1.33587,0.85593,0.70833,0.76822,0.36348,1.75747,1.38104,1.27741,0.0095644,0.0095644,0.0095644
24,1206.34,1.94351,1.44078,1.37299,0.69629,0.675,0.72005,0.35519,1.60194,1.24837,1.18749,0.0095446,0.0095446,0.0095446
25,1255.88,1.85757,1.38762,1.31364,0.79076,0.60833,0.72126,0.36176,1.55544,1.36556,1.16074,0.0095248,0.0095248,0.0095248
26,1305.47,1.83925,1.39304,1.33329,0.83875,0.65019,0.74764,0.37598,1.61962,1.22826,1.22309,0.009505,0.009505,0.009505
27,1355.3,1.90235,1.4505,1.31897,0.77959,0.69167,0.75576,0.38716,1.53015,1.75379,1.20398,0.0094852,0.0094852,0.0094852
28,1405.14,1.84169,1.36984,1.32692,0.82842,0.66667,0.76552,0.36585,1.638,1.27044,1.23794,0.0094654,0.0094654,0.0094654
29,1455.03,1.82788,1.38913,1.29745,0.76893,0.725,0.78857,0.38026,1.53667,1.82673,1.19711,0.0094456,0.0094456,0.0094456
30,1504.9,1.84939,1.42384,1.31033,0.78794,0.71218,0.78694,0.3787,1.62638,1.18922,1.20919,0.0094258,0.0094258,0.0094258
31,1554.71,1.84333,1.33989,1.30669,0.87339,0.66667,0.80095,0.42329,1.55031,1.18809,1.1824,0.009406,0.009406,0.009406
32,1604.55,1.85546,1.38662,1.32444,0.88908,0.66798,0.79337,0.41377,1.57629,1.41159,1.19906,0.0093862,0.0093862,0.0093862
33,1654.4,1.84611,1.41186,1.32842,0.74747,0.68333,0.76863,0.3851,1.55974,1.25754,1.19414,0.0093664,0.0093664,0.0093664
34,1705.44,1.8096,1.31877,1.2917,0.8385,0.7,0.79732,0.41393,1.52678,1.3863,1.17362,0.0093466,0.0093466,0.0093466
35,1755.59,1.8102,1.34273,1.29723,0.81474,0.65833,0.77741,0.38873,1.54556,1.2507,1.17326,0.0093268,0.0093268,0.0093268
36,1806.77,1.85024,1.35767,1.31802,0.84055,0.725,0.79396,0.40387,1.61333,1.38909,1.20235,0.009307,0.009307,0.009307
37,1857.7,1.82661,1.34035,1.30221,0.79813,0.72483,0.78295,0.37917,1.56769,1.45751,1.19003,0.0092872,0.0092872,0.0092872
38,1907.27,1.76183,1.27679,1.29063,0.8621,0.6773,0.7893,0.37713,1.52029,1.36833,1.16473,0.0092674,0.0092674,0.0092674
39,1957.12,1.71784,1.22477,1.25432,0.9009,0.68181,0.77579,0.37749,1.58433,1.22705,1.22406,0.0092476,0.0092476,0.0092476
40,2006.44,1.76701,1.34884,1.2741,0.87571,0.69167,0.80993,0.40561,1.59355,1.26518,1.17827,0.0092278,0.0092278,0.0092278
41,2055.92,1.79587,1.32381,1.30443,0.8547,0.7,0.8087,0.41858,1.58159,1.20175,1.16232,0.009208,0.009208,0.009208
42,2106.05,1.8093,1.33773,1.28674,0.89058,0.66667,0.78864,0.4091,1.66653,1.22472,1.22759,0.0091882,0.0091882,0.0091882
43,2158.03,1.79779,1.35525,1.28884,0.82447,0.70456,0.7911,0.38978,1.56699,1.3549,1.17696,0.0091684,0.0091684,0.0091684
44,2207.94,1.6873,1.30632,1.22445,0.84541,0.68357,0.81291,0.40898,1.63767,1.14577,1.20395,0.0091486,0.0091486,0.0091486
45,2258.23,1.74679,1.26526,1.26987,0.81912,0.675,0.78539,0.38874,1.59298,1.1872,1.19812,0.0091288,0.0091288,0.0091288
46,2309.35,1.7569,1.26839,1.27785,0.77147,0.74167,0.80049,0.39215,1.58371,1.27902,1.17394,0.009109,0.009109,0.009109
47,2359.12,1.76465,1.37059,1.23291,0.79573,0.71417,0.77231,0.39978,1.53383,1.31199,1.17913,0.0090892,0.0090892,0.0090892
48,2408.81,1.64533,1.21169,1.23679,0.78618,0.75833,0.80799,0.42299,1.50656,1.30509,1.15427,0.0090694,0.0090694,0.0090694
49,2458.52,1.76599,1.28912,1.2331,0.86158,0.6743,0.77937,0.41069,1.49595,1.15597,1.13854,0.0090496,0.0090496,0.0090496
50,2508.18,1.69215,1.2762,1.2343,0.85813,0.70568,0.80292,0.41297,1.60046,1.36306,1.18809,0.0090298,0.0090298,0.0090298
51,2557.84,1.62628,1.15706,1.21402,0.89719,0.6545,0.78903,0.41953,1.67412,1.18673,1.20718,0.00901,0.00901,0.00901
52,2607.49,1.66198,1.14221,1.25649,0.87422,0.75299,0.8224,0.42233,1.54205,1.28898,1.13515,0.0089902,0.0089902,0.0089902
53,2658.41,1.63176,1.19964,1.20453,0.89735,0.78333,0.85214,0.435,1.64273,1.24352,1.18515,0.0089704,0.0089704,0.0089704
54,2709.45,1.7191,1.22643,1.24055,0.86112,0.73333,0.80348,0.42998,1.609,1.38626,1.19693,0.0089506,0.0089506,0.0089506
55,2760.46,1.65083,1.22757,1.24257,0.89341,0.78333,0.85549,0.46177,1.53014,0.95236,1.14286,0.0089308,0.0089308,0.0089308
56,2811.54,1.65693,1.18485,1.22365,0.83324,0.76667,0.82416,0.44755,1.53064,1.16,1.17276,0.008911,0.008911,0.008911
57,2862.66,1.72194,1.19002,1.2432,0.86189,0.725,0.83416,0.42728,1.52807,0.97672,1.14007,0.0088912,0.0088912,0.0088912
58,2913.7,1.65352,1.15027,1.21326,0.84822,0.70833,0.79517,0.42539,1.58257,1.28045,1.16787,0.0088714,0.0088714,0.0088714
59,2964.71,1.71672,1.17871,1.24758,0.88872,0.73209,0.81403,0.40473,1.63153,0.99355,1.1824,0.0088516,0.0088516,0.0088516
60,3015.75,1.64376,1.22351,1.21098,0.88373,0.68333,0.7816,0.39876,1.70582,1.14632,1.22695,0.0088318,0.0088318,0.0088318
61,3066.83,1.68171,1.16437,1.23683,0.88844,0.75833,0.83656,0.42254,1.53698,1.07437,1.13276,0.008812,0.008812,0.008812
62,3117.87,1.69531,1.22456,1.24325,0.82721,0.75801,0.81108,0.40066,1.64465,1.17748,1.20266,0.0087922,0.0087922,0.0087922
63,3168.93,1.67429,1.20206,1.20898,0.84084,0.75,0.81833,0.39424,1.67771,1.46605,1.21511,0.0087724,0.0087724,0.0087724
64,3220.03,1.68032,1.12154,1.2377,0.89934,0.67008,0.81708,0.43044,1.54358,1.15815,1.15991,0.0087526,0.0087526,0.0087526
65,3271.06,1.63164,1.15175,1.18927,0.87579,0.70511,0.79849,0.38529,1.60158,1.11748,1.17804,0.0087328,0.0087328,0.0087328
66,3322.03,1.55489,1.15444,1.1519,0.83633,0.75,0.82012,0.42362,1.54652,1.18046,1.13739,0.008713,0.008713,0.008713
67,3373.08,1.70786,1.26946,1.22327,0.82952,0.77041,0.81664,0.41198,1.63018,1.23154,1.17642,0.0086932,0.0086932,0.0086932
68,3424.12,1.56796,1.11179,1.18424,0.93754,0.75055,0.85671,0.45422,1.56701,1.02256,1.15983,0.0086734,0.0086734,0.0086734
69,3475.15,1.65992,1.16485,1.22421,0.89074,0.7473,0.8201,0.4355,1.54863,1.11122,1.1499,0.0086536,0.0086536,0.0086536
70,3526.17,1.65034,1.22077,1.18834,0.8548,0.71667,0.81163,0.40633,1.47925,1.08523,1.14148,0.0086338,0.0086338,0.0086338
71,3577.2,1.63886,1.19155,1.17024,0.87,0.72502,0.82597,0.43747,1.60661,1.20423,1.15805,0.008614,0.008614,0.008614
72,3628.24,1.62528,1.11962,1.20698,0.91586,0.74167,0.83721,0.41886,1.59103,1.04847,1.17716,0.0085942,0.0085942,0.0085942
73,3679.33,1.6265,1.15339,1.19536,0.88543,0.77285,0.8525,0.43118,1.569,1.09145,1.16044,0.0085744,0.0085744,0.0085744
74,3730.38,1.67999,1.20077,1.22771,0.82396,0.74111,0.8212,0.4172,1.55688,1.41414,1.15461,0.0085546,0.0085546,0.0085546
75,3781.42,1.6576,1.11391,1.20123,0.82262,0.73431,0.81482,0.40993,1.52669,1.01714,1.13313,0.0085348,0.0085348,0.0085348
76,3832.5,1.67697,1.18825,1.2152,0.77824,0.76039,0.82019,0.44452,1.52818,1.1019,1.1655,0.008515,0.008515,0.008515
77,3883.49,1.56072,1.08848,1.14927,0.8439,0.76586,0.84186,0.4496,1.56492,0.96976,1.16551,0.0084952,0.0084952,0.0084952
78,3934.39,1.57299,1.06969,1.14481,0.85558,0.75,0.82222,0.44819,1.59535,1.00388,1.19755,0.0084754,0.0084754,0.0084754
79,3985.45,1.65861,1.14208,1.21112,0.83766,0.75833,0.82639,0.42355,1.61023,1.14594,1.17109,0.0084556,0.0084556,0.0084556
80,4036.53,1.60977,1.10075,1.1967,0.8031,0.71382,0.79749,0.43404,1.54147,1.26338,1.17133,0.0084358,0.0084358,0.0084358
81,4087.52,1.64587,1.14449,1.21567,0.84419,0.72242,0.82293,0.43512,1.6031,1.01073,1.1739,0.008416,0.008416,0.008416
82,4138.54,1.5744,1.16498,1.16936,0.82669,0.75833,0.81382,0.43307,1.5957,0.99896,1.16876,0.0083962,0.0083962,0.0083962
83,4189.59,1.57187,1.10299,1.19397,0.84048,0.78333,0.84493,0.4535,1.53405,1.1328,1.13887,0.0083764,0.0083764,0.0083764
84,4240.6,1.59661,1.10577,1.19257,0.8214,0.75,0.85732,0.45933,1.47018,1.0939,1.13949,0.0083566,0.0083566,0.0083566
85,4291.6,1.48407,1.05681,1.14812,0.84007,0.775,0.82731,0.4476,1.57088,0.96237,1.15842,0.0083368,0.0083368,0.0083368
86,4342.7,1.67936,1.09982,1.22019,0.88802,0.75,0.83073,0.44486,1.50392,0.97416,1.16529,0.008317,0.008317,0.008317
87,4393.74,1.60047,1.09376,1.1898,0.85993,0.76743,0.84562,0.4372,1.46126,1.0687,1.12967,0.0082972,0.0082972,0.0082972
88,4444.75,1.5753,1.13658,1.18734,0.81696,0.74391,0.83983,0.42443,1.57917,1.10163,1.16206,0.0082774,0.0082774,0.0082774
89,4495.78,1.60933,1.09953,1.18228,0.88435,0.74167,0.83633,0.44643,1.51591,0.99789,1.13723,0.0082576,0.0082576,0.0082576
90,4546.85,1.59861,1.17498,1.20248,0.8743,0.75,0.83144,0.42338,1.58497,1.0871,1.16417,0.0082378,0.0082378,0.0082378
91,4597.84,1.52983,1.06515,1.15299,0.87578,0.76378,0.83897,0.43267,1.57987,1.24601,1.16669,0.008218,0.008218,0.008218
92,4648.87,1.60278,1.13715,1.21985,0.80112,0.775,0.84267,0.45561,1.50633,1.02143,1.12499,0.0081982,0.0081982,0.0081982
93,4699.9,1.61641,1.12401,1.20776,0.87313,0.81667,0.85887,0.45133,1.58028,1.06825,1.1708,0.0081784,0.0081784,0.0081784
94,4750.88,1.55391,1.05745,1.1509,0.92455,0.71483,0.83684,0.43774,1.59233,1.02123,1.16752,0.0081586,0.0081586,0.0081586
95,4801.89,1.54865,1.14873,1.15003,0.82584,0.725,0.8295,0.45584,1.55861,1.27809,1.12804,0.0081388,0.0081388,0.0081388
96,4852.9,1.56784,1.08882,1.17663,0.82198,0.73108,0.83346,0.44302,1.51838,1.07182,1.12655,0.008119,0.008119,0.008119
97,4903.98,1.5623,1.10133,1.18351,0.87394,0.73333,0.84391,0.45933,1.49617,1.05951,1.1324,0.0080992,0.0080992,0.0080992
98,4954.94,1.57885,1.06975,1.16489,0.84514,0.76667,0.85515,0.44776,1.56386,1.17478,1.15394,0.0080794,0.0080794,0.0080794
99,5005.96,1.62362,1.12048,1.21055,0.82435,0.78221,0.81881,0.43925,1.57114,0.98985,1.15556,0.0080596,0.0080596,0.0080596
100,5056.97,1.61424,1.10666,1.19527,0.88035,0.73333,0.83625,0.44871,1.50512,0.98696,1.11994,0.0080398,0.0080398,0.0080398
101,5108,1.57254,1.04445,1.18831,0.88548,0.775,0.83626,0.45071,1.51184,0.93236,1.11982,0.00802,0.00802,0.00802
102,5159.02,1.57158,1.0812,1.17429,0.87936,0.78333,0.84595,0.42494,1.59728,0.95983,1.16118,0.0080002,0.0080002,0.0080002
103,5210.14,1.54757,1.05505,1.16819,0.84719,0.78333,0.85478,0.46024,1.42853,1.20971,1.11407,0.0079804,0.0079804,0.0079804
104,5261.17,1.53863,1.04868,1.13793,0.89331,0.775,0.84798,0.46709,1.54317,1.06221,1.14597,0.0079606,0.0079606,0.0079606
105,5312.2,1.54173,1.04887,1.17672,0.87648,0.75833,0.85929,0.45045,1.56711,0.9816,1.15803,0.0079408,0.0079408,0.0079408
106,5363.24,1.52845,1.05922,1.15698,0.81507,0.75833,0.84273,0.45593,1.55521,0.98491,1.14304,0.007921,0.007921,0.007921
107,5414.27,1.51088,1.01459,1.14689,0.8585,0.78333,0.85277,0.4496,1.61989,1.13202,1.17559,0.0079012,0.0079012,0.0079012
108,5465.33,1.53387,1.03592,1.15151,0.82222,0.77084,0.83415,0.4508,1.55198,1.32823,1.14173,0.0078814,0.0078814,0.0078814
109,5516.29,1.51181,1.01428,1.12974,0.88317,0.75596,0.83817,0.4188,1.59287,1.04772,1.15415,0.0078616,0.0078616,0.0078616
110,5567.32,1.48648,0.98721,1.15471,0.90117,0.75986,0.85516,0.46935,1.51907,1.13773,1.1309,0.0078418,0.0078418,0.0078418
111,5618.38,1.58296,1.08802,1.18083,0.85687,0.76667,0.86311,0.4803,1.51188,1.03778,1.13541,0.007822,0.007822,0.007822
112,5669.43,1.51073,1.06824,1.18247,0.92822,0.75441,0.85336,0.46523,1.46851,0.98319,1.10887,0.0078022,0.0078022,0.0078022
113,5720.5,1.54811,1.07853,1.17364,0.86335,0.76667,0.8382,0.43536,1.6027,0.99132,1.17662,0.0077824,0.0077824,0.0077824
114,5771.59,1.54089,1.09418,1.16287,0.9115,0.75833,0.862,0.46936,1.50883,0.91063,1.15322,0.0077626,0.0077626,0.0077626
115,5822.63,1.49691,1.07417,1.1679,0.88974,0.76667,0.85668,0.45981,1.50384,1.08066,1.13187,0.0077428,0.0077428,0.0077428
116,5873.67,1.46706,1.06471,1.14148,0.92965,0.77082,0.84374,0.46565,1.54153,0.98457,1.12549,0.007723,0.007723,0.007723
117,5924.77,1.56505,1.02936,1.18473,0.89086,0.74827,0.84692,0.44399,1.59408,1.12744,1.1507,0.0077032,0.0077032,0.0077032
118,5975.86,1.51581,1.03627,1.15843,0.85378,0.81667,0.86127,0.45923,1.53472,1.00042,1.11463,0.0076834,0.0076834,0.0076834
119,6026.91,1.52105,1.0312,1.15928,0.89565,0.76667,0.84864,0.47894,1.5423,0.97944,1.1237,0.0076636,0.0076636,0.0076636
120,6077.92,1.46303,1.00508,1.13768,0.85972,0.7661,0.8495,0.45812,1.56548,1.0391,1.13435,0.0076438,0.0076438,0.0076438
121,6128.99,1.53232,1.01111,1.15478,0.84936,0.79879,0.83002,0.45556,1.54843,0.99923,1.13369,0.007624,0.007624,0.007624
122,6180.04,1.55668,1.03699,1.16671,0.84599,0.8,0.86714,0.44932,1.5487,1.08899,1.13015,0.0076042,0.0076042,0.0076042
123,6231.04,1.49943,1.01184,1.1654,0.85292,0.8,0.85709,0.47858,1.49274,1.03837,1.10916,0.0075844,0.0075844,0.0075844
124,6282.07,1.45882,0.96519,1.11085,0.89502,0.78149,0.86627,0.44624,1.5724,0.9089,1.14071,0.0075646,0.0075646,0.0075646
125,6333.07,1.47096,1.04499,1.12649,0.84791,0.775,0.84986,0.45165,1.49672,0.91922,1.11155,0.0075448,0.0075448,0.0075448
126,6384.07,1.53533,1.03037,1.15375,0.84374,0.76498,0.85207,0.44788,1.54229,0.93181,1.14693,0.007525,0.007525,0.007525
127,6435.05,1.47289,1.04705,1.11532,0.854,0.7799,0.84253,0.43726,1.50713,0.97947,1.11473,0.0075052,0.0075052,0.0075052
128,6486.09,1.46155,1.02716,1.10292,0.89956,0.74636,0.84443,0.45124,1.54369,1.08287,1.15619,0.0074854,0.0074854,0.0074854
129,6537.2,1.48888,0.99861,1.15604,0.87061,0.80833,0.87287,0.47065,1.55742,0.90036,1.12357,0.0074656,0.0074656,0.0074656
130,6588.21,1.41262,0.98989,1.10588,0.82245,0.81063,0.85356,0.46201,1.50062,1.16047,1.12121,0.0074458,0.0074458,0.0074458
131,6639.25,1.49774,1.02169,1.15258,0.84592,0.75833,0.8427,0.44524,1.55392,1.19214,1.14448,0.007426,0.007426,0.007426
132,6690.26,1.51313,1.02396,1.15177,0.82495,0.78545,0.83359,0.43583,1.61043,1.06514,1.18988,0.0074062,0.0074062,0.0074062
133,6741.27,1.44089,0.97244,1.11215,0.90087,0.78333,0.84373,0.46976,1.51829,0.97866,1.13836,0.0073864,0.0073864,0.0073864
134,6792.33,1.53492,1.08191,1.12528,0.86015,0.76886,0.84193,0.45015,1.56435,1.23896,1.12891,0.0073666,0.0073666,0.0073666
135,6843.42,1.51583,1.03424,1.12054,0.86428,0.76667,0.82846,0.46257,1.56929,1.20141,1.14128,0.0073468,0.0073468,0.0073468
136,6894.44,1.46092,0.96367,1.11594,0.8967,0.79571,0.8585,0.44679,1.58105,1.09419,1.13733,0.007327,0.007327,0.007327
137,6945.51,1.52539,0.9934,1.15853,0.86058,0.75833,0.84217,0.46298,1.62624,0.91209,1.19453,0.0073072,0.0073072,0.0073072
138,6996.57,1.48253,0.9888,1.13932,0.85267,0.81989,0.87409,0.45631,1.52505,0.87676,1.12375,0.0072874,0.0072874,0.0072874
139,7047.61,1.46155,0.98521,1.12134,0.8745,0.79167,0.85384,0.47004,1.52943,1.03303,1.12802,0.0072676,0.0072676,0.0072676
140,7098.67,1.49692,1.00636,1.14313,0.81468,0.85,0.87435,0.46863,1.49092,1.13929,1.12908,0.0072478,0.0072478,0.0072478
141,7149.7,1.46228,1.0074,1.15499,0.85878,0.81082,0.86645,0.4521,1.55909,1.00037,1.14463,0.007228,0.007228,0.007228
142,7200.73,1.41857,0.95386,1.1037,0.84853,0.80833,0.8804,0.4736,1.51741,1.0835,1.11582,0.0072082,0.0072082,0.0072082
143,7251.75,1.41721,0.91636,1.10598,0.88606,0.77767,0.86739,0.45866,1.56696,0.97286,1.12247,0.0071884,0.0071884,0.0071884
144,7302.81,1.48273,0.96218,1.13276,0.78165,0.83532,0.87068,0.46928,1.53368,1.08659,1.12049,0.0071686,0.0071686,0.0071686
145,7353.83,1.46722,0.98958,1.12882,0.91346,0.76667,0.85006,0.45774,1.54984,0.93079,1.11716,0.0071488,0.0071488,0.0071488
146,7404.8,1.38286,0.92381,1.07306,0.87683,0.77121,0.86162,0.4645,1.53216,0.9601,1.13929,0.007129,0.007129,0.007129
147,7455.84,1.51142,0.9575,1.14944,0.90615,0.80462,0.86564,0.45302,1.5738,0.92286,1.15879,0.0071092,0.0071092,0.0071092
148,7506.9,1.46126,1.00736,1.14098,0.89571,0.79167,0.86749,0.47177,1.51282,0.88548,1.10618,0.0070894,0.0070894,0.0070894
149,7557.96,1.48795,0.96516,1.12744,0.86221,0.80833,0.88035,0.46836,1.54496,0.83013,1.14226,0.0070696,0.0070696,0.0070696
150,7608.97,1.41157,0.95068,1.09182,0.89427,0.77535,0.87759,0.47048,1.53211,0.96205,1.12674,0.0070498,0.0070498,0.0070498
151,7659.98,1.44439,0.91512,1.10367,0.86259,0.78472,0.83497,0.44168,1.63058,0.94704,1.18547,0.00703,0.00703,0.00703
